"num_incident","precip_range"
"10285","0"
"362","1"
"261","2"
"315","3"
"144","4"
"176","5"
"201","6"
"229","7"
"171","8"
"52","9"
"180","10"
"91","11"
"153","12"
"62","13"
"90","14"
"117","15"
"72","16"
"117","17"
"56","18"
"79","19"
"47","20"
"93","21"
"52","22"
"23","23"
"60","24"
"105","25"
"54","26"
"25","27"
"65","28"
"18","29"
"64","30"
"47","31"
"2","32"
"34","33"
"35","34"
"39","35"
"50","36"
"5","37"
"8","38"
"37","39"
"54","40"
"19","41"
"50","42"
"36","43"
"14","45"
"18","46"
"12","48"
"23","49"
"12","50"
"21","51"
"2","53"
"5","54"
"11","55"
"1","56"
"6","57"
"18","58"
"19","59"
"17","60"
"27","61"
"5","63"
"18","65"
"15","68"
"3","73"
"5","75"
"21","80"
"15","83"
"8","87"
"7","96"
"9","102"
"16","106"
"5","111"
"5","123"
"3","133"
